Item Fat Content,Item Type,Item_MRP,Outlet Location Type,Outlet Size,Outlet Type,Item Visibility,Rating,Item_Outlet_Sales,Total Sales
Regular,Fruits and Vegetables,249.8092,Tier 1,Medium,Supermarket Type1,0.1000135,5,3735.138,145.4786
Low Fat,Health and Hygiene,48.2692,Tier 3,Medium,Supermarket Type2,0.008596051,5,443.4228,115.3492
Regular,Frozen Foods,141.618,Tier 1,Small,Supermarket Type1,0.025896485,5,2097.27,165.021
Regular,Canned,182.095,Tier 3,High,Supermarket Type1,0.042277867,5,732.38,126.5046
Low Fat,Soft Drinks,53.8614,Tier 2,Small,Supermarket Type1,0.033970195,5,994.7052,55.1614
low fat,Frozen Foods,51.4008,Tier 2,Small,Supermarket Type1,0.005505481,5,556.6088,102.4016
Low Fat,Health and Hygiene,57.6588,Tier 3,Small,Grocery Store,0.098312421,5,343.5528,81.4618
Low Fat,Household,107.7622,Tier 2,Small,Supermarket Type1,0.026903714,5,4022.7636,96.0726
Low Fat,Fruits and Vegetables,96.9726,Tier 3,High,Supermarket Type1,0.024129332,5,1076.5986,124.173
Low Fat,Canned,187.8214,Tier 3,Medium,Supermarket Type3,0.101561568,5,4710.535,181.9292
LF,Snack Foods,45.5402,Tier 3,Medium,Supermarket Type3,0.084554569,5,1516.0266,109.8912
Low Fat,Health and Hygiene,144.1102,Tier 2,Small,Supermarket Type1,0.052044976,5,2187.153,192.1846
Low Fat,Fruits and Vegetables,145.4786,Tier 3,Medium,Supermarket Type2,0.128937661,5,1589.2646,112.3886
Low Fat,Household,119.6782,Tier 3,High,Supermarket Type1,0.090486828,5,2145.2076,195.211
Low Fat,Meat,196.4426,Tier 3,Medium,Supermarket Type3,0.03292824,5,1977.426,173.1738
Regular,Fruits and Vegetables,56.3614,Tier 2,Small,Supermarket Type1,0.018801549,5,1547.3192,222.1772
Low Fat,Breads,115.3492,Tier 3,Medium,Supermarket Type2,0.147023834,5,1621.8888,93.7436
Low Fat,Household,54.3614,Tier 1,Medium,Supermarket Type1,0.077628053,5,718.3982,197.611
Low Fat,Fruits and Vegetables,113.2834,Tier 3,Medium,Supermarket Type3,0.182514881,5,2303.668,98.77
Low Fat,Hard Drinks,230.5352,Tier 3,Medium,Supermarket Type2,0.016895293,5,2748.4224,178.566
Regular,Fruits and Vegetables,250.8724,Tier 3,Medium,Supermarket Type3,0,5,3775.086,60.2194
Low Fat,Others,144.5444,Tier 3,Medium,Supermarket Type3,0.026916794,5,4064.0432,50.9666
